Training on cuda
/home/aditya/bude_vla/src/bude_vla/models/text_encoder.py:127: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.transformer = nn.TransformerEncoder(layer, num_layers=depth)
/home/aditya/bude_vla/src/bude_vla/models/action_head.py:80: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.temporal = nn.TransformerEncoder(
Model parameters: 19,296,344
  vision: 3,906,880
  text: 3,290,624
  proprio: 1,804
  soft_prompts: 49,152
  backbone: 6,318,080
  action_head: 5,729,804
  total: 19,296,344
  loaded 135483 frames from /home/aditya/bude_vla/data/pick_v7
  total frames: 135483, batches/epoch: 4233, history_frames: 1
  action_norm lo=[-0.4911216  -0.76121104 -1.2978902 ]  hi=[0.21848157 0.8869459  0.99108195]
step    100 | loss 3269.738524 | lr 3.00e-04 | 14.9 steps/s | epoch 0
step    200 | loss 5232.295163 | lr 3.00e-04 | 15.2 steps/s | epoch 0
step    300 | loss 1434.398459 | lr 3.00e-04 | 15.4 steps/s | epoch 0
step    400 | loss 5083.193233 | lr 3.00e-04 | 15.4 steps/s | epoch 0
step    500 | loss 37874.718986 | lr 3.00e-04 | 15.4 steps/s | epoch 0
step    600 | loss 3521.832382 | lr 3.00e-04 | 15.5 steps/s | epoch 0
step    700 | loss 2659.006230 | lr 3.00e-04 | 15.6 steps/s | epoch 0
step    800 | loss 5711.624478 | lr 3.00e-04 | 15.6 steps/s | epoch 0
step    900 | loss 560.568747 | lr 3.00e-04 | 15.7 steps/s | epoch 0
step   1000 | loss 10400.439122 | lr 3.00e-04 | 15.7 steps/s | epoch 0
step   1100 | loss 8918.170747 | lr 3.00e-04 | 15.7 steps/s | epoch 0
step   1200 | loss 8898.621416 | lr 3.00e-04 | 15.7 steps/s | epoch 0
step   1300 | loss 1895.831839 | lr 3.00e-04 | 15.7 steps/s | epoch 0
step   1400 | loss 1718.991922 | lr 2.99e-04 | 15.8 steps/s | epoch 0
step   1500 | loss 1050.248214 | lr 2.99e-04 | 15.8 steps/s | epoch 0
step   1600 | loss 1807.408407 | lr 2.99e-04 | 15.8 steps/s | epoch 0
step   1700 | loss 2149.060971 | lr 2.99e-04 | 15.8 steps/s | epoch 0
step   1800 | loss 1483.304658 | lr 2.99e-04 | 15.8 steps/s | epoch 0
step   1900 | loss 1039.713920 | lr 2.99e-04 | 15.8 steps/s | epoch 0
step   2000 | loss 418.779749 | lr 2.99e-04 | 15.8 steps/s | epoch 0
step   2100 | loss 44790.468457 | lr 2.99e-04 | 15.8 steps/s | epoch 0
step   2200 | loss 915.186060 | lr 2.99e-04 | 15.8 steps/s | epoch 0
step   2300 | loss 3838.940973 | lr 2.98e-04 | 15.8 steps/s | epoch 0
