Training on cuda
/home/aditya/bude_vla/src/bude_vla/models/text_encoder.py:127: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.transformer = nn.TransformerEncoder(layer, num_layers=depth)
/home/aditya/bude_vla/src/bude_vla/models/action_head.py:80: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.temporal = nn.TransformerEncoder(
Model parameters: 19,296,344
  vision: 3,906,880
  text: 3,290,624
  proprio: 1,804
  soft_prompts: 49,152
  backbone: 6,318,080
  action_head: 5,729,804
  total: 19,296,344
  loaded 135483 frames from /home/aditya/bude_vla/data/pick_v7
  total frames: 135483, batches/epoch: 4233, history_frames: 1
  action_norm lo=[-0.4911216  -0.76121104 -1.2978902 ]  hi=[0.21848157 0.8869459  0.99108195]
/home/aditya/bude_vla/scripts/train.py:172: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  scheduler.step()
  resumed from step 20000, loss_hist entries=200
step  20100 | loss 1478.928150 | lr 1.98e-04 | 2562.0 steps/s | epoch 0
step  20200 | loss 612.569488 | lr 1.98e-04 | 1327.2 steps/s | epoch 0
step  20300 | loss 1645.108449 | lr 1.97e-04 | 894.8 steps/s | epoch 0
step  20400 | loss 1311.773166 | lr 1.97e-04 | 676.7 steps/s | epoch 0
step  20500 | loss 1038.272176 | lr 1.97e-04 | 546.2 steps/s | epoch 0
step  20600 | loss 5621.773944 | lr 1.96e-04 | 458.9 steps/s | epoch 0
step  20700 | loss 761.970903 | lr 1.96e-04 | 397.9 steps/s | epoch 0
step  20800 | loss 944.369142 | lr 1.95e-04 | 350.9 steps/s | epoch 0
step  20900 | loss 1912.496169 | lr 1.95e-04 | 314.5 steps/s | epoch 0
step  21000 | loss 2027.118641 | lr 1.94e-04 | 284.5 steps/s | epoch 0
step  21100 | loss 2922.433848 | lr 1.94e-04 | 259.5 steps/s | epoch 0
step  21200 | loss 1500.260187 | lr 1.94e-04 | 238.4 steps/s | epoch 0
step  21300 | loss 1352.650315 | lr 1.93e-04 | 221.1 steps/s | epoch 0
step  21400 | loss 3070.076389 | lr 1.93e-04 | 206.8 steps/s | epoch 0
step  21500 | loss 891.728410 | lr 1.92e-04 | 194.2 steps/s | epoch 0
step  21600 | loss 7119.902103 | lr 1.92e-04 | 183.2 steps/s | epoch 0
step  21700 | loss 1755.403874 | lr 1.91e-04 | 173.2 steps/s | epoch 0
step  21800 | loss 872.093121 | lr 1.91e-04 | 164.2 steps/s | epoch 0
step  21900 | loss 3013.573818 | lr 1.90e-04 | 155.9 steps/s | epoch 0
step  22000 | loss 1418.729329 | lr 1.90e-04 | 148.9 steps/s | epoch 0
step  22100 | loss 1732.412301 | lr 1.89e-04 | 142.5 steps/s | epoch 0
step  22200 | loss 622.824579 | lr 1.89e-04 | 136.5 steps/s | epoch 0
step  22300 | loss 942.987543 | lr 1.89e-04 | 131.2 steps/s | epoch 0
step  22400 | loss 69.585256 | lr 1.88e-04 | 126.4 steps/s | epoch 0
step  22500 | loss 1255.845433 | lr 1.88e-04 | 122.0 steps/s | epoch 0
step  22600 | loss 3005.865188 | lr 1.87e-04 | 117.9 steps/s | epoch 0
